Asset #,Serial Number,Vendor,Desktop Model,Location,Details,IP Address,Operating System,Configuration ID,Invoice Date,Warranty Expiry Date,Warranty Expired,PO #,Invoice #,Cost Centre,Purchase Price,Purchasing Approved,Status
US07577,DGPMV42,Dell Inc.,OptiPlex 9020,Unassigned,desktop,10.3.7.89,Microsoft Windows 7 Professional x64,AEL,,2018-07-14 23:59:59,Active,,,,,,
US30298,2FRL082,Dell Inc.,OptiPlex 3020,Unassigned,desktop,10.3.7.90,Microsoft Windows 7 Professional x64,AEL,,2018-12-29 23:59:59,Active,,,,,,
US06015,FFPMV42,Dell Inc.,OptiPlex 9020,Unassigned,desktop,10.3.7.91,Microsoft Windows 7 Professional x64,AEL,,2018-07-14 23:59:59,Active,,,,,,
ETX21867,246FCZ1,Dell Inc.,OptiPlex 9020,Unassigned,desktop,10.3.7.93,Microsoft Windows 7 Professional x64,AEL,,2017-02-26 23:59:59,Expired,,,,,,
ETX21844,1XBDCZ1,Dell Inc.,OptiPlex 9020,Unassigned,desktop,10.3.7.94,Microsoft Windows 7 Professional x64,AEL,,2017-02-18 23:59:59,Expired,,,,,,
ETX21868,23YDCZ1,Dell Inc.,OptiPlex 9020,Unassigned,desktop,10.3.7.95,Microsoft Windows 7 Professional x64,AEL,,2017-02-26 23:59:59,Expired,,,,,,
US07579,4PPMV42,Dell Inc.,OptiPlex 9020,Unassigned,desktop,10.3.7.96,Microsoft Windows 7 Professional x64,AEL,,2018-07-14 23:59:59,Active,,,,,,
US07581,2DPMV42,Dell Inc.,OptiPlex 9020,Unassigned,desktop,10.3.7.97,Microsoft Windows 7 Professional x64,AEL,,2018-07-14 23:59:59,Active,,,,,,
ETX21869,244DCZ1,Dell Inc.,OptiPlex 9020,Unassigned,desktop,10.3.7.98,Microsoft Windows 7 Professional x64,AEL,,2017-02-26 23:59:59,Expired,,,,,,
US30287,B70L082,Dell Inc.,OptiPlex 3020,Unassigned,desktop,10.3.7.99,Microsoft Windows 7 Professional x64,AEL,,2018-12-29 23:59:59,Active,,,,,,
