NAME,,,,,,,,,,,,,,,,,,,,,,,,,,AUSTRALIAN,OURS
Acer Veriton 5100,ACER,VERITON,5100,,,,,,,,,,,,,,,,,,,,,,,SFF,"small form factor,small form,sff"
Apple eMac,EMAC,,,,,,,,,,,,,,,,,,,,,,,,,micro,micro
Apple iMac 20in 2.0Ghz 1GB/250GB/SD,XXXXX1234567890,,,,,,,,,,,,,,,,,,,,,,,,,usff,"ultra small,usff"
Apple iMac 21 2.9GHz 8GB/1TB/ATA,XXXXX1234567890,,,,,,,,,,,,,,,,,,,,,,,,,mff,"medium form factor,medium form,mff"
Apple iMac 21.5in 2.8GHz QC/8GB/1TB,XXXXX1234567890,,,,,,,,,,,,,,,,,,,,,,,,,aio,"aio,all-in-one,allinone,all in one"
Comdek/EDSys/Apple Generic,XXXXX1234567890,,,,,,,,,,,,,,,,,,,,,,,,,mini tower,"mini,mini tower"
Cybernet iOne GX31,XXXXX1234567890,,,,,,,,,,,,,,,,,,,,,,,,,aio,"aio,all-in-one,allinone,all in one"
Dell Dimension Series,DIMENSION,,,,,,,,,,,,,,,,,,,,,,,,,btx,"btx,balanced tech,balanced technology extended"
Dell Inspiron 15 3542,INSPIRON,15,3542,,,,,,,,,,,,,,,,,,,,,,,,
Dell Inspiron 17 5000 Series,INSPIRON,17,5000,,,,,,,,,,,,,,,,,,,,,,,,
Dell Inspiron M102z,INSPIRON,"M102Z,M102 Z",,,,,,,,,,,,,,,,,,,,,,,,,
Dell Latitude,LATITUDE,,,,,,,,,,,,,,,,,,,,,,,,,,
Dell Latitude 13 7000,LATITUDE,13,7000,,,,,,,,,,,,,,,,,,,,,,,,
Dell Latitude 5285,LATITUDE,5285,,,,,,,,,,,,,,,,,,,,,,,,,
Dell Latitude 5580,LATITUDE,5580,,,,,,,,,,,,,,,,,,,,,,,,,
Dell Latitude 7280,LATITUDE,7280,,,,,,,,,,,,,,,,,,,,,,,,,
Dell Latitude 7480,LATITUDE,7480,,,,,,,,,,,,,,,,,,,,,,,,,
Dell Latitude C610,LATITUDE,C610,,,,,,,,,,,,,,,,,,,,,,,,,
Dell Latitude D430,LATITUDE,D430,,,,,,,,,,,,,,,,,,,,,,,,,
Dell Latitude D505,LATITUDE,D505,,,,,,,,,,,,,,,,,,,,,,,,,
Dell Latitude D510,LATITUDE,D510,,,,,,,,,,,,,,,,,,,,,,,,,
Dell Latitude D520,LATITUDE,D520,,,,,,,,,,,,,,,,,,,,,,,,,
Dell Latitude D600,LATITUDE,D600,,,,,,,,,,,,,,,,,,,,,,,,,
Dell Latitude D610,LATITUDE,D610,,,,,,,,,,,,,,,,,,,,,,,,,
Dell Latitude D620,LATITUDE,D620,,,,,,,,,,,,,,,,,,,,,,,,,
Dell Latitude D630,LATITUDE,D630,,,,,,,,,,,,,,,,,,,,,,,,,
Dell Latitude D830,LATITUDE,D830,,,,,,,,,,,,,,,,,,,,,,,,,
Dell Latitude E4300,LATITUDE,E4300,,,,,,,,,,,,,,,,,,,,,,,,,
Dell Latitude E4310,LATITUDE,E4310,,,,,,,,,,,,,,,,,,,,,,,,,
Dell Latitude E5250,LATITUDE,E5250,,,,,,,,,,,,,,,,,,,,,,,,,
Dell Latitude E5285,LATITUDE,E5285,,,,,,,,,,,,,,,,,,,,,,,,,
Dell Latitude E5410,LATITUDE,E5410,,,,,,,,,,,,,,,,,,,,,,,,,
Dell Latitude E5420,LATITUDE,E5420,,,,,,,,,,,,,,,,,,,,,,,,,
Dell Latitude E5430,LATITUDE,E5430,,,,,,,,,,,,,,,,,,,,,,,,,
Dell Latitude E5440,LATITUDE,E5440,,,,,,,,,,,,,,,,,,,,,,,,,
Dell Latitude E5450,LATITUDE,E5450,,,,,,,,,,,,,,,,,,,,,,,,,
Dell Latitude E5470,LATITUDE,E5470,,,,,,,,,,,,,,,,,,,,,,,,,
Dell Latitude E5500,LATITUDE,E5500,,,,,,,,,,,,,,,,,,,,,,,,,
Dell Latitude E5510,LATITUDE,E5510,,,,,,,,,,,,,,,,,,,,,,,,,
Dell Latitude E5520,LATITUDE,E5520,,,,,,,,,,,,,,,,,,,,,,,,,
Dell Latitude E5530,LATITUDE,E5530,,,,,,,,,,,,,,,,,,,,,,,,,
Dell Latitude E5540,LATITUDE,E5540,,,,,,,,,,,,,,,,,,,,,,,,,
Dell Latitude E5550,LATITUDE,E5550,,,,,,,,,,,,,,,,,,,,,,,,,
Dell Latitude E5570,LATITUDE,E5570,,,,,,,,,,,,,,,,,,,,,,,,,
Dell Latitude E6320,LATITUDE,E6320,,,,,,,,,,,,,,,,,,,,,,,,,
Dell Latitude E6330,LATITUDE,E6330,,,,,,,,,,,,,,,,,,,,,,,,,
Dell Latitude E6400,LATITUDE,E6400,,,,,,,,,,,,,,,,,,,,,,,,,
Dell Latitude E6410,LATITUDE,E6410,,,,,,,,,,,,,,,,,,,,,,,,,
Dell Latitude E6420,LATITUDE,E6420,,,,,,,,,,,,,,,,,,,,,,,,,
Dell Latitude E6430,LATITUDE,E6430,,,,,,,,,,,,,,,,,,,,,,,,,
Dell Latitude E6430s,LATITUDE,E6430s,,,,,,,,,,,,,,,,,,,,,,,,,
Dell Latitude E6430u Ultrabook,LATITUDE,e6430u,ultrabook,,,,,,,,,,,,,,,,,,,,,,,,
Dell Latitude E6500,LATITUDE,E6500,,,,,,,,,,,,,,,,,,,,,,,,,
Dell Latitude E6510,LATITUDE,E6510,,,,,,,,,,,,,,,,,,,,,,,,,
Dell Latitude E6520,LATITUDE,E6520,,,,,,,,,,,,,,,,,,,,,,,,,
Dell Latitude E6530,LATITUDE,E6530,,,,,,,,,,,,,,,,,,,,,,,,,
